,key,title,authors,abstract,year_published,tags
10,rayyan-354359280,Syntactic and Semantic Analysis for Extended Feedback on Computer Graphics Assignments,"Andujar C., Vijulie C.R., Vinacua A., Santos B.S., Alford G.","Modern computer graphics courses require students to complete assignments involving computer programming. The evaluation of student programs, either by the student (self-Assessment) or by the instructors (grading) can take a considerable amount of time and does not scale well with large groups. Interactive judges giving a pass/fail verdict do constitute a scalable solution, but they only provide feedback on output correctness. In this article, we present a tool to provide extensive feedback on student submissions. The feedback is based both on checking the output against test sets, as well as on syntactic and semantic analysis of the code. These analyses are performed through a set of code features and instructor-defined rubrics. The tool is built with Python and supports shader programs written in GLSL. Our experiments demonstrate that the tool provides extensive feedback that can be useful to support self-Assessment, facilitate grading, and identify frequent programming mistakes. © 1981-2012 IEEE.",2020,"['approach:semi_automatic', 'data:none', 'data_available:False', 'evaluation:none', 'feedback:test_output', 'interaction:unknown', 'language:glsl', 'skill:code_quality', 'skill:correctness', 'skill:graphics', 'technique:dsl_rules', 'technique:test_cases', 'tool:antlr', 'type:description']"
11,rayyan-354359282,Computing with CodeRunner at Coventry University Automated summative assessment of Python and C++ code,"Croft D., England M.",CodeRunner is a free open-source Moodle plugin for automatically marking student code. We describe our experience using CodeRunner for summative assessment in our first year undergraduate programming curriculum at Coventry University. We use it to assess both Python3 and C++14 code (CodeRunner supports other languages also). We give examples of our questions and report on how key metrics have changed following its use at Coventry. © 2020 Copyright held by the owner/author(s). Publication rights licensed to ACM.,2020,"['approach:fully_automated', 'data:internal_exams', 'data_available:False', 'evaluation:with_without', 'feedback:test_output', 'interaction:unknown', 'language:c++', 'language:python', 'skill:correctness', 'skill:readability', 'technique:dsl_rules', 'technique:test_cases', 'technique:unit_testing', 'tool:coderunner', 'type:experience_report']"
12,rayyan-354359284,Using an interactive software tool for the formative and summative evaluation in a computer programming course: An experience report,"Restrepo-Calle F., Ramírez-Echeverry J.J., González F.A.","This article describes the use of an automatic tool that supports both formative and summative evaluation, in an introductory computer programming course. The aim was to test the tool in a real scenario and to assess its potential benefits. The participants were 56 students in an engineering school. Different programming tasks were solved by students with the support of the tool. It provides summative evaluation using automatic grading, and formative evaluation through real-time checking of good coding practices, code execution visualisation, testing code with custom inputs, informative feedback on failed test cases, and student performance statistics for self-monitoring the learning process. Results of the experience show the students considerably used the tool, denoting high engagement to achieve the learning goals of the tasks. The students perceived the tool was highly useful to debug programs and carry out frequent practice of programming, thanks to the automatic feedback and test of solutions for programming assignments. Results offer evidence of the importance of providing comprehensive feedback to facilitate students finding mistakes and building knowledge about how to proceed in case of errors. Moreover, the tool shows some potential to help students developing learning strategies, e.g. metacognitive awareness and improving problem-solving skills. © 2020 World Institute for Engineering and Technology Education. All rights reserved.",2020,"['approach:fully_automated', 'data:internal_assignments', 'data:internal_exams', 'data_available:False', 'evaluation:analytics', 'evaluation:student_survey', 'feedback:unit_testing', 'interaction:multiple', 'language:C', 'language:c++', 'language:java', 'language:python', 'skill:code_quality', 'skill:readability', 'technique:static_analysis', 'technique:unit_testing', 'tool:uncode', 'type:experience_report']"
13,rayyan-354359285,An Intelligent Online Judge System for Programming Training,"Dong Y., Hou J., Lu X.","Online judge (OJ) systems are becoming increasingly popular in various applications such as programming training, competitive programming contests and even employee recruitment, mainly due to their ability of automatic evaluation of code submissions. In higher education, OJ systems have been extensively used in programming courses because the automatic evaluation feature can drastically reduce the grading workload of instructors and teaching assistants and thereby makes the class size scalable. However, in our teaching we feel that existing OJ systems should improve their ability on giving feedback to students and teachers, especially on code errors and knowledge states. The lack of such automatic feedback increases teachers’ involvement and thus prevents college programming training from being more scalable. To tackle this challenge, we leverage historical student data obtained from our OJ system and implement two automated functions, namely, code error prediction and student knowledge tracing, using machine learning models. We demonstrate how students and teachers may benefit from the adoption of these two functions during programming training. © 2020, Springer Nature Switzerland AG.",2020,"['approach:oj', 'data:internal_assignments', 'data_available:False', 'evaluation:none', 'feedback:machine_learning', 'interaction:unknown', 'language:C', 'skill:correctness', 'technique:error_prediction', 'technique:machine_learning', 'technique:ml', 'technique:test_cases', 'technique:unit_testing', 'tool:code2vec', 'type:demo_paper']"
14,rayyan-354359287,Teaching programming at scale,"Kaplan A., Keim J., Schneider Y.R., Walter M., Werle D., Koziolek A., Reussner R.","Teaching programming is a difficult task and there are many different challenges teachers face. Beyond considerations about the right choice of teaching content and presentation in lectures, scaling practical parts of courses and the examination and grading to course sizes of around 1,000 students is particularly challenging. We believe programming is a skill that needs to be trained practically, which creates additional challenges, especially at this scale. In this paper, we outline learning goals for our undergraduate programming course and the structure for the course we derived from these goals. We report on the challenges we see when teaching programming at scale and how we try to overcome them. For example, one central challenge is how to grade a high number of students in a good, transparent, and efficient way. We report on our approach that includes automated tests as well as tool support for manual code review. Over the years, we experienced different issues and learned valuable lessons. We present corresponding key takeaways that we derived from our experiences. Copyright © 2020 for this paper by its authors.",2020,"['approach:semi_automatic', 'data:internal_assignments', 'data_available:False', 'evaluation:none', 'feedback:test_output', 'interaction:single', 'language:java', 'skill:code_quality', 'skill:correctness', 'skill:readability', 'technique:style_check', 'technique:test_cases', 'technique:unit_testing', 'tool:checkstyle', 'type:experience_report']"
15,rayyan-354359290,Fast test suite-driven model-based fault localisation with application to pinpointing defects in student programs,"Birch G., Fischer B., Poppleton M.","Fault localisation, i.e. the identification of program locations that cause errors, takes significant effort and cost. We describe a fast model-based fault localisation algorithm that, given a test suite, uses symbolic execution methods to fully automatically identify a small subset of program locations where genuine program repairs exist. Our algorithm iterates over failing test cases and collects locations where an assignment change can repair exhibited faulty behaviour. Our main contribution is an improved search through the test suite, reducing the effort for the symbolic execution of the models and leading to speed-ups of more than two orders of magnitude over the previously published implementation by Griesmayer et al. We implemented our algorithm for C programs, using the KLEE symbolic execution engine, and demonstrate its effectiveness on the Siemens TCAS variants. Its performance is in line with recent alternative model-based fault localisation techniques, but narrows the location set further without rejecting any genuine repair locations where faults can be fixed by changing a single assignment. We also show how our tool can be used in an educational context to improve self-guided learning and accelerate assessment. We apply our algorithm to a large selection of actual student coursework submissions, providing precise localisation within a sub-second response time. We show this using small test suites, already provided in the coursework management system, and on expanded test suites, demonstrating the scalability of our approach. We also show compliance with test suites does not reliably grade a class of “almost-correct” submissions, which our tool highlights, as being close to the correct answer. Finally, we show an extension to our tool that extends our fast localisation results to a selection of student submissions that contain two faults. © 2017, The Author(s).",2017,"['approach:unclear', 'data:internal_assignments', 'data_available:False', 'evaluation:compared_to_other_tools', 'feedback:unclear', 'interaction:unknown', 'language:C', 'skill:correctness', 'technique:fault_localisation', 'technique:program_repair', 'technique:program_verification', 'technique:test_cases', 'tool:none', 'type:description', 'type:evaluation']"
16,rayyan-354359291,A parser-based tool to assist instructors in grading computer graphics assignments,"Andujar C., Vijulie C.R., Vinacua A.","Although online e-learning environments are increasingly used in university courses, manual assessment still dominates the way students are graded. Interactive judges providing a pass/fail verdict based on test sets are valuable tools both for learning and assessment, but still rely on human review of the code for output-independent issues such as readability and efficiency. In this paper we present a tool to assist instructors in grading programming exercises in Computer Graphics (CG) courses. In contrast to other grading solutions, assessment is based both on checking the output against test sets, and through a set of instructor-defined rubrics based on syntax analysis of the source code. Our current prototype runs in Python and supports the assessment of shaders written in GLSL language. We tested the tool in a CG course involving more than one hundred Computer Science students per year. Our first experiments show the tool can be useful to support both self-assessment and grading, as well as detecting grading mistakes through anomaly detection techniques based on features extracted from the syntax analysis. © 2019 The Author(s) Eurographics Proceedings © 2019 The Eurographics Association.",2019,"['approach:semi_automatic', 'data:internal_assignments', 'data_available:False', 'evaluation:analytics', 'feedback:manual_personalised_feedback', 'interaction:unknown', 'language:c++', 'language:glsl', 'skill:code_quality', 'skill:correctness', 'technique:dsl_rules', 'technique:model_solution_req', 'technique:test_cases', 'technique:unit_testing', 'tool:none', 'type:description', 'type:evaluation']"
17,rayyan-354359293,Improving Programming Education Quality with Automatic Grading System,"Cai Y.-Z., Tsai M.-H.","As the rapid growth of information technology, the demand for proficiency in software programming skyrockets. Compared to teaching with slides traditionally, hands-on programming training is more beneficial and practical. However, it is exhausting and time-consuming for educators to grade all assignments in person. Besides, students may not get feedback immediately to correct their wrong conceptions. Therefore, an automatic grading system is required to grade and send feedback to students. Based on an existing continuous integration system, which checks whether new programs behave as expected, we develop a set of course management tools and deploy an automatic grading system in this paper. Our system requires a server to run and test the programs. However, the server is susceptible to being compromised by hackers. Therefore, how we protect sensitive data and prevent malicious network traffic are demonstrated in this paper as well. The tools were applied in an Android application development course with 140 students enrolled. Around 72% of the students indicate the automatic grading system is beneficial to their learning. © Springer Nature Switzerland AG 2019.",2019,"['approach:fully_automated', 'data:internal_assignments', 'data_available:False', 'evaluation:auto_grading', 'evaluation:student_survey', 'feedback:test_output', 'interaction:unknown', 'language:android', 'skill:correctness', 'technique:ci', 'technique:test_cases', 'technique:unit_testing', 'tool:travis', 'type:description', 'type:evaluation']"
18,rayyan-354359294,Grading Programs Based on Hybrid Analysis,"Wang Z., Xu L.","Grading programming assignments often take a lot of time and effort, so there is a growing need for automatic scoring systems. The existing program scoring system gives scores mainly by executing test cases. It cannot identify homework plagiarism or give grades according to steps. Therefore, this paper proposes an automatic scoring technique for Python programming assignments based on hybrid program analysis. Our scoring tool Paprika combines dynamic analysis and static analysis methods. Based on the Python abstract tree, it uses static analysis to realize the detection of clones and code style assessment and uses dynamic analysis to score with running test cases. It has a good tolerance for various formats of output of the code. The experiment shows that on the one hand, Paprika can reduce the burden of teachers and teaching assistants; on the other hand, it can accurately and objectively give grades and detailed feedback, which is helpful for students to improve learning efficiency and programming level. © 2019, Springer Nature Switzerland AG.",2019,"['approach:fully_automated', 'data:internal_assignments', 'data:leetcode', 'data_available:False', 'evaluation:compared_to_human', 'evaluation:manual_grading', 'feedback:plagiarism', 'feedback:style_check', 'interaction:single', 'language:python', 'skill:code_quality', 'skill:correctness', 'technique:dynamic_analysis', 'technique:static_analysis', 'technique:test_cases', 'technique:unit_testing', 'tool:deckard', 'type:description', 'type:evaluation']"
19,rayyan-354359295,Convolutional neural network applied to code assignment grading,"De Souza F.R., De Assis Zampirolli F., Kobayashi G.","Thousands of students have their assignments evaluated by their teachers every day around the world while developing their studies in any branch of science. A fair evaluation of their schoolwork is a very challenging task. Here we present a method for validating the grades attributed by professors to students programming exercises in an undergraduate introductory course in computer programming. We collected 938 final exam exercises in Java Language developed during this course, evaluated by different professors, and trained a convolutional neural network over those assignments. First, we submit their codes to a cleaning process (by removing comments and anonymizing variables). Next, we generated an embedding representation of each source code produced by students. Finally, this representation is taken as the input of the neural network which classifies each label (corresponding to the possible grades A, B, C, D or F). An independent neural network is trained with source code solutions corresponding to each assignment. We obtained an average accuracy of 74.9% in a 10−fold cross validation for each grade. We believe that this method can be used to validate the grading process made by professors in order to detect errors that might happen during this process. Copyright © 2019 by SCITEPRESS – Science and Technology Publications, Lda. All rights reserved.",2019,"['approach:semi_automatic', 'data:internal_exams', 'data_available:False', 'evaluation:grading_accuracy', 'feedback:errors', 'interaction:single', 'language:java', 'skill:correctness', 'technique:machine_learning', 'technique:ml', 'tool:mctest', 'type:description', 'type:evaluation']"
20,rayyan-354359296,Algorithm for adaptive learning process and improving learners’ skills in Java programming language,"Gavrilović N., Arsić A., Domazet D., Mishra A.","Adaptive approaches within distance learning systems enable adapting teaching process to the needs of each learner during the learning process. This paper presents an algorithm for creating an adaptive learning process that provides knowledge and skills improvement for learners in the Java programming language. Also, it presents the application of the tool that checks the learner's knowledge through solving practical tasks from the Java programming language. The adaptive learning process in this work leads the learner through teaching materials and practical tasks where the acquired knowledge is required to be applied. Also, the algorithm, based on the measurement of knowledge and time spent on a particular part of the learning process with detailed feedback and the demonstration of observed deficiencies, directs the learner to teaching materials that allow improving the demonstrated knowledge. Teaching materials are conceived as learning objects and, as such, allow for the application of adaptive approach. An analysis of the effectiveness of the algorithm and tool for practical knowledge testing from the Java programming language was done with a test group of learners who gave their opinions and grades. © 2018 Wiley Periodicals, Inc.",2018,"['approach:fully_automated', 'data:internal_assignments', 'data_available:False', 'evaluation:student_survey', 'evaluation:teacher_survey', 'feedback:unclear', 'interaction:unknown', 'language:java', 'skill:correctness', 'technique:test_cases', 'technique:unit_testing', 'tool:none', 'type:description', 'type:evaluation']"
21,rayyan-354359297,Automatic assessment of Java code,"Insa D., Silva J.","Assessment is an integral part of education often used to evaluate students, but also to provide them with feedback. It is essential to ensure that assessment is fair, objective, and equally applied to all students. This holds, for instance, in multiple-choice tests, but, unfortunately, it is not ensured in the assessment of source code, which is still a manual and error-prone task. In this paper, we present JavAssess, a Java library with an API composed of around 200 methods to automatically inspect, test, mark, and correct Java code. It can be used to produce both black-box (based on output comparison) and white-box (based on the internal properties of the code) assessment tools. This means that it allows for marking the code even if it is only partially correct. We describe the library, how to use it, and we provide a complete example to automatically mark and correct a student's code. We also report the use of this system in a real university context to compare manual and automatic assessment in university courses. The study reports the average error in the marks produced by teachers when assessing source code manually, and it shows that the system automatically assesses around 50% of the work. © 2018 Elsevier Ltd",2018,"['approach:fully_automated', 'data:internal_exams', 'data_available:False', 'evaluation:auto_grading', 'evaluation:compared_to_human', 'evaluation:manual_grading', 'evaluation:student_survey', 'feedback:test_output', 'interaction:unknown', 'language:java', 'skill:code_quality', 'skill:correctness', 'technique:code_metrics', 'technique:dsl_rules', 'technique:model_solution_req', 'technique:reflection', 'tool:javassess', 'type:description']"
22,rayyan-354359298,Grading at scale in earsketch,"Sarwate A., Brunch C., Freeman J., Siva S.","This paper explores some of the challenges posed by automated grading of programming assignments in a STEAM (Science, Technology, Engineering, Art, and Math) based curriculum, as well as how these challenges are addressed in the automatic grading processes used in EarSketch, a music-based educational programming environment developed at Georgia Tech. This work-inprogress paper reviews common strategies for grading programming assignments at scale and discusses how they are combined in EarSketch to evaluate open ended STEAM-focused assignments. © 2017 Association for Computing Machinery. All rights reserved.",2017,"['approach:fully_automated', 'data:none', 'data_available:False', 'evaluation:none', 'feedback:unclear', 'interaction:unknown', 'language:javascript', 'language:python', 'skill:complexity', 'skill:correctness', 'technique:code_metrics', 'technique:dsl_rules', 'technique:model_solution_closeness', 'technique:model_solution_req', 'technique:pattern_matching', 'tool:earsketch', 'type:description']"
23,rayyan-354359299,"Search, align, and repair: Data-driven feedback generation for introductory programming exercises","Wang K., Singh R., Su Z.","This paper introduces the ""Search, Align, and Repair"" data-driven program repair framework to automate feedback generation for introductory programming exercises. Distinct from existing techniques, our goal is to develop an efficient, fully automated, and problem-agnostic technique for large or MOOC-scale introductory programming courses. We leverage the large amount of available student submissions in such settings and develop new algorithms for identifying similar programs, aligning correct and incorrect programs, and repairing incorrect programs by finding minimal fixes. We have implemented our technique in the Sarfgen system and evaluated it on thousands of real student attempts from the Microsoft-DEV204.1x edX course and the Microsoft CodeHunt platform. Our results show that Sarfgen can, within two seconds on average, generate concise, useful feedback for 89.7% of the incorrect student submissions. It has been integrated with the Microsoft-DEV204.1X edX class and deployed for production use. © 2018 ACM.",2018,"['approach:fully_automated', 'data:microsoft_dev204_1x', 'data_available:on_request', 'evaluation:analytics', 'evaluation:feedback', 'evaluation:with_without', 'feedback:program_repair', 'interaction:unknown', 'language:c#', 'skill:correctness', 'technique:cluster', 'technique:code_repair_for_feedback', 'technique:data_driven', 'technique:model_solution_closeness', 'technique:program_repair', 'tool:sarfgen', 'type:description', 'type:evaluation']"
